marmoset,rhesus,gorilla,chimp,human
DAAM1,DAAM1,DAAM1,DAAM1,DAAM1
DAAM2,DAAM2,DAAM2,DAAM2,DAAM2
DAB1,DAB1,DAB1,DAB1,DAB1
DAB2,DAB2,DAB2,DAB2,DAB2
DAB2IP,DAB2IP,DAB2IP,DAB2IP,DAB2IP
DACH1,DACH1,DACH1,DACH1,DACH1
DACH2,DACH2,DACH2,DACH2,DACH2
DACT1,DACT1,DACT1,DACT1,DACT1
DACT2,DACT2,DACT2,DACT2,DACT2
DACT3,DACT3,DACT3,DACT3,DACT3
DAD1,DAD1,DAD1,DAD1,DAD1
DAG1,DAG1,DAG1,DAG1,DAG1
DAGLA,DAGLA,DAGLA,DAGLA,DAGLA
DAGLB,DAGLB,DAGLB,DAGLB,DAGLB
DALRD3,DALRD3,DALRD3,DALRD3,DALRD3
DAND5,DAND5,DAND5,DAND5,DAND5
DAO,DAO,DAO,DAO,DAO
DAP,DAP,DAP,DAP,DAP
DAP3,DAP3,DAP3,DAP3,DAP3
DAPK1,DAPK1,DAPK1,DAPK1,DAPK1
DAPK2,DAPK2,DAPK2,DAPK2,DAPK2
DAPK3,DAPK3,DAPK3,DAPK3,DAPK3
DAPL1,DAPL1,DAPL1,DAPL1,DAPL1
DAPP1,DAPP1,DAPP1,DAPP1,DAPP1
DARS,DARS,DARS,DARS,DARS
DARS2,DARS2,DARS2,DARS2,DARS2
DAW1,DAW1,DAW1,DAW1,DAW1
DAXX,DAXX,DAXX,DAXX,DAXX
DAZAP1,DAZAP1,DAZAP1,DAZAP1,DAZAP1
DAZAP2,DAZAP2,DAZAP2,DAZAP2,DAZAP2
DAZL,DAZL,DAZL,DAZL,DAZL
DBF4,DBF4,DBF4,DBF4,DBF4
DBH,DBH,DBH,DBH,DBH
DBI,DBI,DBI,DBI,DBI
DBN1,DBN1,DBN1,DBN1,DBN1
DBNDD2,DBNDD2,DBNDD2,DBNDD2,DBNDD2
DBNL,DBNL,DBNL,DBNL,DBNL
DBP,DBP,DBP,DBP,DBP
DBR1,DBR1,DBR1,DBR1,DBR1
DBT,DBT,DBT,DBT,DBT
DBX2,DBX2,DBX2,DBX2,DBX2
DCAF10,DCAF10,DCAF10,DCAF10,DCAF10
DCAF11,DCAF11,DCAF11,DCAF11,DCAF11
DCAF12,DCAF12,DCAF12,DCAF12,DCAF12
DCAF12L2,DCAF12L2,DCAF12L2,DCAF12L2,DCAF12L2
DCAF13,DCAF13,DCAF13,DCAF13,DCAF13
DCAF15,DCAF15,DCAF15,DCAF15,DCAF15
DCAF16,DCAF16,DCAF16,DCAF16,DCAF16
DCAF17,DCAF17,DCAF17,DCAF17,DCAF17
DCAF4,DCAF4,DCAF4,DCAF4,DCAF4
DCAF4L1,DCAF4L1,DCAF4L1,DCAF4L1,DCAF4L1
DCAF4L2,DCAF4L2,DCAF4L2,DCAF4L2,DCAF4L2
DCAF5,DCAF5,DCAF5,DCAF5,DCAF5
DCAF6,DCAF6,DCAF6,DCAF6,DCAF6
DCAF7,DCAF7,DCAF7,DCAF7,DCAF7
DCAF8,DCAF8,DCAF8,DCAF8,DCAF8
DCAKD,DCAKD,DCAKD,DCAKD,DCAKD
DCBLD1,DCBLD1,DCBLD1,DCBLD1,DCBLD1
DCBLD2,DCBLD2,DCBLD2,DCBLD2,DCBLD2
DCC,DCC,DCC,DCC,DCC
DCD,DCD,DCD,DCD,DCD
DCDC1,DCDC1,DCDC1,DCDC1,DCDC1
DCDC2,DCDC2,DCDC2,DCDC2,DCDC2
DCDC2B,DCDC2B,DCDC2B,DCDC2B,DCDC2B
DCDC2C,DCDC2C,DCDC2C,DCDC2C,DCDC2C
DCHS1,DCHS1,DCHS1,DCHS1,DCHS1
DCHS2,DCHS2,DCHS2,DCHS2,DCHS2
DCK,DCK,DCK,DCK,DCK
DCLK1,DCLK1,DCLK1,DCLK1,DCLK1
DCLK2,DCLK2,DCLK2,DCLK2,DCLK2
DCLK3,DCLK3,DCLK3,DCLK3,DCLK3
DCLRE1A,DCLRE1A,DCLRE1A,DCLRE1A,DCLRE1A
DCLRE1B,DCLRE1B,DCLRE1B,DCLRE1B,DCLRE1B
DCLRE1C,DCLRE1C,DCLRE1C,DCLRE1C,DCLRE1C
DCN,DCN,DCN,DCN,DCN
DCP1A,DCP1A,DCP1A,DCP1A,DCP1A
DCP1B,DCP1B,DCP1B,DCP1B,DCP1B
DCP2,DCP2,DCP2,DCP2,DCP2
DCPS,DCPS,DCPS,DCPS,DCPS
DCST1,DCST1,DCST1,DCST1,DCST1
DCST2,DCST2,DCST2,DCST2,DCST2
DCSTAMP,DCSTAMP,DCSTAMP,DCSTAMP,DCSTAMP
DCT,DCT,DCT,DCT,DCT
DCTD,DCTD,DCTD,DCTD,DCTD
DCTN1,DCTN1,DCTN1,DCTN1,DCTN1
DCTN2,DCTN2,DCTN2,DCTN2,DCTN2
DCTN3,DCTN3,DCTN3,DCTN3,DCTN3
DCTN4,DCTN4,DCTN4,DCTN4,DCTN4
DCTN6,DCTN6,DCTN6,DCTN6,DCTN6
DCUN1D1,DCUN1D1,DCUN1D1,DCUN1D1,DCUN1D1
DCUN1D2,DCUN1D2,DCUN1D2,DCUN1D2,DCUN1D2
DCUN1D4,DCUN1D4,DCUN1D4,DCUN1D4,DCUN1D4
DCUN1D5,DCUN1D5,DCUN1D5,DCUN1D5,DCUN1D5
DCX,DCX,DCX,DCX,DCX
DCXR,DCXR,DCXR,DCXR,DCXR
DDA1,DDA1,DDA1,DDA1,DDA1
DDAH1,DDAH1,DDAH1,DDAH1,DDAH1
DDAH2,DDAH2,DDAH2,DDAH2,DDAH2
DDB1,DDB1,DDB1,DDB1,DDB1
DDC,DDC,DDC,DDC,DDC
DDHD1,DDHD1,DDHD1,DDHD1,DDHD1
DDHD2,DDHD2,DDHD2,DDHD2,DDHD2
DDIAS,DDIAS,DDIAS,DDIAS,DDIAS
DDIT3,DDIT3,DDIT3,DDIT3,DDIT3
DDIT4,DDIT4,DDIT4,DDIT4,DDIT4
DDIT4L,DDIT4L,DDIT4L,DDIT4L,DDIT4L
DDN,DDN,DDN,DDN,DDN
DDO,DDO,DDO,DDO,DDO
DDOST,DDOST,DDOST,DDOST,DDOST
DDR1,DDR1,DDR1,DDR1,DDR1
DDR2,DDR2,DDR2,DDR2,DDR2
DDRGK1,DDRGK1,DDRGK1,DDRGK1,DDRGK1
DDX1,DDX1,DDX1,DDX1,DDX1
DDX10,DDX10,DDX10,DDX10,DDX10
DDX11,DDX11,DDX11,DDX11,DDX11
DDX17,DDX17,DDX17,DDX17,DDX17
DDX18,DDX18,DDX18,DDX18,DDX18
DDX20,DDX20,DDX20,DDX20,DDX20
DDX21,DDX21,DDX21,DDX21,DDX21
DDX23,DDX23,DDX23,DDX23,DDX23
DDX24,DDX24,DDX24,DDX24,DDX24
DDX25,DDX25,DDX25,DDX25,DDX25
DDX27,DDX27,DDX27,DDX27,DDX27
DDX31,DDX31,DDX31,DDX31,DDX31
DDX39A,DDX39A,DDX39A,DDX39A,DDX39A
DDX39B,DDX39B,DDX39B,DDX39B,DDX39B
DDX3X,DDX3X,DDX3X,DDX3X,DDX3X
DDX3Y,DDX3Y,DDX3Y,DDX3Y,DDX3Y
DDX4,DDX4,DDX4,DDX4,DDX4
DDX41,DDX41,DDX41,DDX41,DDX41
DDX42,DDX42,DDX42,DDX42,DDX42
DDX43,DDX43,DDX43,DDX43,DDX43
DDX46,DDX46,DDX46,DDX46,DDX46
DDX47,DDX47,DDX47,DDX47,DDX47
DDX49,DDX49,DDX49,DDX49,DDX49
DDX5,DDX5,DDX5,DDX5,DDX5
DDX50,DDX50,DDX50,DDX50,DDX50
DDX51,DDX51,DDX51,DDX51,DDX51
DDX52,DDX52,DDX52,DDX52,DDX52
DDX54,DDX54,DDX54,DDX54,DDX54
DDX55,DDX55,DDX55,DDX55,DDX55
DDX58,DDX58,DDX58,DDX58,DDX58
DDX59,DDX59,DDX59,DDX59,DDX59
DDX6,DDX6,DDX6,DDX6,DDX6
DDX60,DDX60,DDX60,DDX60,DDX60
DDX60L,DDX60L,DDX60L,DDX60L,DDX60L
DEAF1,DEAF1,DEAF1,DEAF1,DEAF1
DECR1,DECR1,DECR1,DECR1,DECR1
DEDD,DEDD,DEDD,DEDD,DEDD
DEDD2,DEDD2,DEDD2,DEDD2,DEDD2
DEF6,DEF6,DEF6,DEF6,DEF6
DEFA6,DEFA6,DEFA6,DEFA6,DEFA6
DEFB1,DEFB1,DEFB1,DEFB1,DEFB1
DEFB119,DEFB119,DEFB119,DEFB119,DEFB119
DEFB123,DEFB123,DEFB123,DEFB123,DEFB123
DEFB135,DEFB135,DEFB135,DEFB135,DEFB135
DEGS1,DEGS1,DEGS1,DEGS1,DEGS1
DEGS2,DEGS2,DEGS2,DEGS2,DEGS2
DEK,DEK,DEK,DEK,DEK
DENND1A,DENND1A,DENND1A,DENND1A,DENND1A
DENND1B,DENND1B,DENND1B,DENND1B,DENND1B
DENND1C,DENND1C,DENND1C,DENND1C,DENND1C
DENND2A,DENND2A,DENND2A,DENND2A,DENND2A
DENND2C,DENND2C,DENND2C,DENND2C,DENND2C
DENND2D,DENND2D,DENND2D,DENND2D,DENND2D
DENND3,DENND3,DENND3,DENND3,DENND3
DENND4A,DENND4A,DENND4A,DENND4A,DENND4A
DENND4B,DENND4B,DENND4B,DENND4B,DENND4B
DENND4C,DENND4C,DENND4C,DENND4C,DENND4C
DENND5A,DENND5A,DENND5A,DENND5A,DENND5A
DENND5B,DENND5B,DENND5B,DENND5B,DENND5B
DENND6A,DENND6A,DENND6A,DENND6A,DENND6A
DENND6B,DENND6B,DENND6B,DENND6B,DENND6B
DENR,DENR,DENR,DENR,DENR
DEPDC1,DEPDC1,DEPDC1,DEPDC1,DEPDC1
DEPDC1B,DEPDC1B,DEPDC1B,DEPDC1B,DEPDC1B
DEPDC4,DEPDC4,DEPDC4,DEPDC4,DEPDC4
DEPDC5,DEPDC5,DEPDC5,DEPDC5,DEPDC5
DEPDC7,DEPDC7,DEPDC7,DEPDC7,DEPDC7
DEPTOR,DEPTOR,DEPTOR,DEPTOR,DEPTOR
DERA,DERA,DERA,DERA,DERA
DERL1,DERL1,DERL1,DERL1,DERL1
DERL2,DERL2,DERL2,DERL2,DERL2
DES,DES,DES,DES,DES
DESI1,DESI1,DESI1,DESI1,DESI1
DESI2,DESI2,DESI2,DESI2,DESI2
DET1,DET1,DET1,DET1,DET1
DFFA,DFFA,DFFA,DFFA,DFFA
DFFB,DFFB,DFFB,DFFB,DFFB
DGAT1,DGAT1,DGAT1,DGAT1,DGAT1
DGAT2,DGAT2,DGAT2,DGAT2,DGAT2
DGAT2L6,DGAT2L6,DGAT2L6,DGAT2L6,DGAT2L6
DGCR2,DGCR2,DGCR2,DGCR2,DGCR2
DGCR6L,DGCR6L,DGCR6L,DGCR6L,DGCR6L
DGCR8,DGCR8,DGCR8,DGCR8,DGCR8
DGKA,DGKA,DGKA,DGKA,DGKA
DGKB,DGKB,DGKB,DGKB,DGKB
DGKD,DGKD,DGKD,DGKD,DGKD
DGKE,DGKE,DGKE,DGKE,DGKE
DGKG,DGKG,DGKG,DGKG,DGKG
DGKH,DGKH,DGKH,DGKH,DGKH
DGKI,DGKI,DGKI,DGKI,DGKI
DGKK,DGKK,DGKK,DGKK,DGKK
DGKQ,DGKQ,DGKQ,DGKQ,DGKQ
DGKZ,DGKZ,DGKZ,DGKZ,DGKZ
DGUOK,DGUOK,DGUOK,DGUOK,DGUOK
DHCR24,DHCR24,DHCR24,DHCR24,DHCR24
DHCR7,DHCR7,DHCR7,DHCR7,DHCR7
DHDDS,DHDDS,DHDDS,DHDDS,DHDDS
DHDH,DHDH,DHDH,DHDH,DHDH
DHFR,DHFR,DHFR,DHFR,DHFR
DHH,DHH,DHH,DHH,DHH
DHPS,DHPS,DHPS,DHPS,DHPS
DHRS1,DHRS1,DHRS1,DHRS1,DHRS1
DHRS11,DHRS11,DHRS11,DHRS11,DHRS11
DHRS12,DHRS12,DHRS12,DHRS12,DHRS12
DHRS13,DHRS13,DHRS13,DHRS13,DHRS13
DHRS2,DHRS2,DHRS2,DHRS2,DHRS2
DHRS3,DHRS3,DHRS3,DHRS3,DHRS3
DHRS7,DHRS7,DHRS7,DHRS7,DHRS7
DHRS7B,DHRS7B,DHRS7B,DHRS7B,DHRS7B
DHRS7C,DHRS7C,DHRS7C,DHRS7C,DHRS7C
DHRS9,DHRS9,DHRS9,DHRS9,DHRS9
DHRSX,DHRSX,DHRSX,DHRSX,DHRSX
DHTKD1,DHTKD1,DHTKD1,DHTKD1,DHTKD1
DHX15,DHX15,DHX15,DHX15,DHX15
DHX16,DHX16,DHX16,DHX16,DHX16
DHX29,DHX29,DHX29,DHX29,DHX29
DHX30,DHX30,DHX30,DHX30,DHX30
DHX32,DHX32,DHX32,DHX32,DHX32
DHX33,DHX33,DHX33,DHX33,DHX33
DHX34,DHX34,DHX34,DHX34,DHX34
DHX35,DHX35,DHX35,DHX35,DHX35
DHX36,DHX36,DHX36,DHX36,DHX36
DHX37,DHX37,DHX37,DHX37,DHX37
DHX40,DHX40,DHX40,DHX40,DHX40
DHX57,DHX57,DHX57,DHX57,DHX57
DHX58,DHX58,DHX58,DHX58,DHX58
DHX8,DHX8,DHX8,DHX8,DHX8
DHX9,DHX9,DHX9,DHX9,DHX9
DIABLO,DIABLO,DIABLO,DIABLO,DIABLO
DIAPH1,DIAPH1,DIAPH1,DIAPH1,DIAPH1
DIAPH2,DIAPH2,DIAPH2,DIAPH2,DIAPH2
DIAPH3,DIAPH3,DIAPH3,DIAPH3,DIAPH3
DICER1,DICER1,DICER1,DICER1,DICER1
DIDO1,DIDO1,DIDO1,DIDO1,DIDO1
DIMT1,DIMT1,DIMT1,DIMT1,DIMT1
DIO1,DIO1,DIO1,DIO1,DIO1
DIO2,DIO2,DIO2,DIO2,DIO2
DIP2A,DIP2A,DIP2A,DIP2A,DIP2A
DIP2B,DIP2B,DIP2B,DIP2B,DIP2B
DIP2C,DIP2C,DIP2C,DIP2C,DIP2C
DIRAS1,DIRAS1,DIRAS1,DIRAS1,DIRAS1
DIRAS2,DIRAS2,DIRAS2,DIRAS2,DIRAS2
DIRAS3,DIRAS3,DIRAS3,DIRAS3,DIRAS3
DIS3,DIS3,DIS3,DIS3,DIS3
DIS3L,DIS3L,DIS3L,DIS3L,DIS3L
DIS3L2,DIS3L2,DIS3L2,DIS3L2,DIS3L2
DISP1,DISP1,DISP1,DISP1,DISP1
DISP2,DISP2,DISP2,DISP2,DISP2
DIXDC1,DIXDC1,DIXDC1,DIXDC1,DIXDC1
DKC1,DKC1,DKC1,DKC1,DKC1
DKK1,DKK1,DKK1,DKK1,DKK1
DKK2,DKK2,DKK2,DKK2,DKK2
DKK3,DKK3,DKK3,DKK3,DKK3
DKK4,DKK4,DKK4,DKK4,DKK4
DKKL1,DKKL1,DKKL1,DKKL1,DKKL1
DLAT,DLAT,DLAT,DLAT,DLAT
DLC1,DLC1,DLC1,DLC1,DLC1
DLD,DLD,DLD,DLD,DLD
DLEC1,DLEC1,DLEC1,DLEC1,DLEC1
DLEU7,DLEU7,DLEU7,DLEU7,DLEU7
DLG1,DLG1,DLG1,DLG1,DLG1
DLG2,DLG2,DLG2,DLG2,DLG2
DLG3,DLG3,DLG3,DLG3,DLG3
DLG4,DLG4,DLG4,DLG4,DLG4
DLG5,DLG5,DLG5,DLG5,DLG5
DLGAP1,DLGAP1,DLGAP1,DLGAP1,DLGAP1
DLGAP2,DLGAP2,DLGAP2,DLGAP2,DLGAP2
DLGAP3,DLGAP3,DLGAP3,DLGAP3,DLGAP3
DLGAP4,DLGAP4,DLGAP4,DLGAP4,DLGAP4
DLGAP5,DLGAP5,DLGAP5,DLGAP5,DLGAP5
DLK2,DLK2,DLK2,DLK2,DLK2
DLL1,DLL1,DLL1,DLL1,DLL1
DLL3,DLL3,DLL3,DLL3,DLL3
DLL4,DLL4,DLL4,DLL4,DLL4
DLST,DLST,DLST,DLST,DLST
DLX1,DLX1,DLX1,DLX1,DLX1
DLX2,DLX2,DLX2,DLX2,DLX2
DLX5,DLX5,DLX5,DLX5,DLX5
DLX6,DLX6,DLX6,DLX6,DLX6
DMAP1,DMAP1,DMAP1,DMAP1,DMAP1
DMBT1,DMBT1,DMBT1,DMBT1,DMBT1
DMBX1,DMBX1,DMBX1,DMBX1,DMBX1
DMC1,DMC1,DMC1,DMC1,DMC1
DMD,DMD,DMD,DMD,DMD
DMGDH,DMGDH,DMGDH,DMGDH,DMGDH
DMKN,DMKN,DMKN,DMKN,DMKN
DMPK,DMPK,DMPK,DMPK,DMPK
DMRT1,DMRT1,DMRT1,DMRT1,DMRT1
DMRT2,DMRT2,DMRT2,DMRT2,DMRT2
DMRT3,DMRT3,DMRT3,DMRT3,DMRT3
DMRTA1,DMRTA1,DMRTA1,DMRTA1,DMRTA1
DMRTA2,DMRTA2,DMRTA2,DMRTA2,DMRTA2
DMRTB1,DMRTB1,DMRTB1,DMRTB1,DMRTB1
DMRTC1B,DMRTC1B,DMRTC1B,DMRTC1B,DMRTC1B
DMRTC2,DMRTC2,DMRTC2,DMRTC2,DMRTC2
DMTF1,DMTF1,DMTF1,DMTF1,DMTF1
DMTN,DMTN,DMTN,DMTN,DMTN
DMWD,DMWD,DMWD,DMWD,DMWD
DMXL1,DMXL1,DMXL1,DMXL1,DMXL1
DMXL2,DMXL2,DMXL2,DMXL2,DMXL2
DNA2,DNA2,DNA2,DNA2,DNA2
DNAAF2,DNAAF2,DNAAF2,DNAAF2,DNAAF2
DNAAF5,DNAAF5,DNAAF5,DNAAF5,DNAAF5
DNAH1,DNAH1,DNAH1,DNAH1,DNAH1
DNAH10,DNAH10,DNAH10,DNAH10,DNAH10
DNAH11,DNAH11,DNAH11,DNAH11,DNAH11
DNAH17,DNAH17,DNAH17,DNAH17,DNAH17
DNAH2,DNAH2,DNAH2,DNAH2,DNAH2
DNAH5,DNAH5,DNAH5,DNAH5,DNAH5
DNAH6,DNAH6,DNAH6,DNAH6,DNAH6
DNAH7,DNAH7,DNAH7,DNAH7,DNAH7
DNAH8,DNAH8,DNAH8,DNAH8,DNAH8
DNAH9,DNAH9,DNAH9,DNAH9,DNAH9
DNAI1,DNAI1,DNAI1,DNAI1,DNAI1
DNAI2,DNAI2,DNAI2,DNAI2,DNAI2
DNAJA1,DNAJA1,DNAJA1,DNAJA1,DNAJA1
DNAJA4,DNAJA4,DNAJA4,DNAJA4,DNAJA4
DNAJB1,DNAJB1,DNAJB1,DNAJB1,DNAJB1
DNAJB11,DNAJB11,DNAJB11,DNAJB11,DNAJB11
DNAJB12,DNAJB12,DNAJB12,DNAJB12,DNAJB12
DNAJB13,DNAJB13,DNAJB13,DNAJB13,DNAJB13
DNAJB14,DNAJB14,DNAJB14,DNAJB14,DNAJB14
DNAJB2,DNAJB2,DNAJB2,DNAJB2,DNAJB2
DNAJB4,DNAJB4,DNAJB4,DNAJB4,DNAJB4
DNAJB5,DNAJB5,DNAJB5,DNAJB5,DNAJB5
DNAJB6,DNAJB6,DNAJB6,DNAJB6,DNAJB6
DNAJB7,DNAJB7,DNAJB7,DNAJB7,DNAJB7
DNAJB9,DNAJB9,DNAJB9,DNAJB9,DNAJB9
DNAJC1,DNAJC1,DNAJC1,DNAJC1,DNAJC1
DNAJC10,DNAJC10,DNAJC10,DNAJC10,DNAJC10
DNAJC11,DNAJC11,DNAJC11,DNAJC11,DNAJC11
DNAJC12,DNAJC12,DNAJC12,DNAJC12,DNAJC12
DNAJC13,DNAJC13,DNAJC13,DNAJC13,DNAJC13
DNAJC14,DNAJC14,DNAJC14,DNAJC14,DNAJC14
DNAJC15,DNAJC15,DNAJC15,DNAJC15,DNAJC15
DNAJC16,DNAJC16,DNAJC16,DNAJC16,DNAJC16
DNAJC17,DNAJC17,DNAJC17,DNAJC17,DNAJC17
DNAJC18,DNAJC18,DNAJC18,DNAJC18,DNAJC18
DNAJC19,DNAJC19,DNAJC19,DNAJC19,DNAJC19
DNAJC2,DNAJC2,DNAJC2,DNAJC2,DNAJC2
DNAJC21,DNAJC21,DNAJC21,DNAJC21,DNAJC21
DNAJC22,DNAJC22,DNAJC22,DNAJC22,DNAJC22
DNAJC24,DNAJC24,DNAJC24,DNAJC24,DNAJC24
DNAJC25,DNAJC25,DNAJC25,DNAJC25,DNAJC25
DNAJC27,DNAJC27,DNAJC27,DNAJC27,DNAJC27
DNAJC28,DNAJC28,DNAJC28,DNAJC28,DNAJC28
DNAJC3,DNAJC3,DNAJC3,DNAJC3,DNAJC3
DNAJC30,DNAJC30,DNAJC30,DNAJC30,DNAJC30
DNAJC4,DNAJC4,DNAJC4,DNAJC4,DNAJC4
DNAJC5,DNAJC5,DNAJC5,DNAJC5,DNAJC5
DNAJC5B,DNAJC5B,DNAJC5B,DNAJC5B,DNAJC5B
DNAJC5G,DNAJC5G,DNAJC5G,DNAJC5G,DNAJC5G
DNAJC6,DNAJC6,DNAJC6,DNAJC6,DNAJC6
DNAJC7,DNAJC7,DNAJC7,DNAJC7,DNAJC7
DNAJC8,DNAJC8,DNAJC8,DNAJC8,DNAJC8
DNAJC9,DNAJC9,DNAJC9,DNAJC9,DNAJC9
DNAL1,DNAL1,DNAL1,DNAL1,DNAL1
DNAL4,DNAL4,DNAL4,DNAL4,DNAL4
DNALI1,DNALI1,DNALI1,DNALI1,DNALI1
DNASE1L1,DNASE1L1,DNASE1L1,DNASE1L1,DNASE1L1
DNASE1L3,DNASE1L3,DNASE1L3,DNASE1L3,DNASE1L3
DNASE2,DNASE2,DNASE2,DNASE2,DNASE2
DNASE2B,DNASE2B,DNASE2B,DNASE2B,DNASE2B
DND1,DND1,DND1,DND1,DND1
DNER,DNER,DNER,DNER,DNER
DNHD1,DNHD1,DNHD1,DNHD1,DNHD1
DNLZ,DNLZ,DNLZ,DNLZ,DNLZ
DNM1,DNM1,DNM1,DNM1,DNM1
DNM1L,DNM1L,DNM1L,DNM1L,DNM1L
DNM2,DNM2,DNM2,DNM2,DNM2
DNM3,DNM3,DNM3,DNM3,DNM3
DNMBP,DNMBP,DNMBP,DNMBP,DNMBP
DNMT1,DNMT1,DNMT1,DNMT1,DNMT1
DNMT3A,DNMT3A,DNMT3A,DNMT3A,DNMT3A
DNMT3B,DNMT3B,DNMT3B,DNMT3B,DNMT3B
DNMT3L,DNMT3L,DNMT3L,DNMT3L,DNMT3L
DNPEP,DNPEP,DNPEP,DNPEP,DNPEP
DNPH1,DNPH1,DNPH1,DNPH1,DNPH1
DNTT,DNTT,DNTT,DNTT,DNTT
DNTTIP1,DNTTIP1,DNTTIP1,DNTTIP1,DNTTIP1
DNTTIP2,DNTTIP2,DNTTIP2,DNTTIP2,DNTTIP2
DOC2B,DOC2B,DOC2B,DOC2B,DOC2B
DOCK1,DOCK1,DOCK1,DOCK1,DOCK1
DOCK10,DOCK10,DOCK10,DOCK10,DOCK10
DOCK11,DOCK11,DOCK11,DOCK11,DOCK11
DOCK2,DOCK2,DOCK2,DOCK2,DOCK2
DOCK3,DOCK3,DOCK3,DOCK3,DOCK3
DOCK4,DOCK4,DOCK4,DOCK4,DOCK4
DOCK5,DOCK5,DOCK5,DOCK5,DOCK5
DOCK6,DOCK6,DOCK6,DOCK6,DOCK6
DOCK7,DOCK7,DOCK7,DOCK7,DOCK7
DOCK8,DOCK8,DOCK8,DOCK8,DOCK8
DOCK9,DOCK9,DOCK9,DOCK9,DOCK9
DOHH,DOHH,DOHH,DOHH,DOHH
DOK1,DOK1,DOK1,DOK1,DOK1
DOK2,DOK2,DOK2,DOK2,DOK2
DOK3,DOK3,DOK3,DOK3,DOK3
DOK5,DOK5,DOK5,DOK5,DOK5
DOK6,DOK6,DOK6,DOK6,DOK6
DOK7,DOK7,DOK7,DOK7,DOK7
DOLK,DOLK,DOLK,DOLK,DOLK
DOLPP1,DOLPP1,DOLPP1,DOLPP1,DOLPP1
DONSON,DONSON,DONSON,DONSON,DONSON
DOT1L,DOT1L,DOT1L,DOT1L,DOT1L
DPAGT1,DPAGT1,DPAGT1,DPAGT1,DPAGT1
DPCD,DPCD,DPCD,DPCD,DPCD
DPF1,DPF1,DPF1,DPF1,DPF1
DPF2,DPF2,DPF2,DPF2,DPF2
DPF3,DPF3,DPF3,DPF3,DPF3
DPH1,DPH1,DPH1,DPH1,DPH1
DPH2,DPH2,DPH2,DPH2,DPH2
DPH3,DPH3,DPH3,DPH3,DPH3
DPH5,DPH5,DPH5,DPH5,DPH5
DPH6,DPH6,DPH6,DPH6,DPH6
DPH7,DPH7,DPH7,DPH7,DPH7
DPM1,DPM1,DPM1,DPM1,DPM1
DPM2,DPM2,DPM2,DPM2,DPM2
DPM3,DPM3,DPM3,DPM3,DPM3
DPP10,DPP10,DPP10,DPP10,DPP10
DPP3,DPP3,DPP3,DPP3,DPP3
DPP4,DPP4,DPP4,DPP4,DPP4
DPP6,DPP6,DPP6,DPP6,DPP6
DPP7,DPP7,DPP7,DPP7,DPP7
DPP8,DPP8,DPP8,DPP8,DPP8
DPP9,DPP9,DPP9,DPP9,DPP9
DPPA2,DPPA2,DPPA2,DPPA2,DPPA2
DPPA3,DPPA3,DPPA3,DPPA3,DPPA3
DPPA4,DPPA4,DPPA4,DPPA4,DPPA4
DPRX,DPRX,DPRX,DPRX,DPRX
DPT,DPT,DPT,DPT,DPT
DPY19L1,DPY19L1,DPY19L1,DPY19L1,DPY19L1
DPY19L3,DPY19L3,DPY19L3,DPY19L3,DPY19L3
DPY19L4,DPY19L4,DPY19L4,DPY19L4,DPY19L4
DPY30,DPY30,DPY30,DPY30,DPY30
DPYD,DPYD,DPYD,DPYD,DPYD
DPYS,DPYS,DPYS,DPYS,DPYS
DPYSL2,DPYSL2,DPYSL2,DPYSL2,DPYSL2
DPYSL3,DPYSL3,DPYSL3,DPYSL3,DPYSL3
DPYSL4,DPYSL4,DPYSL4,DPYSL4,DPYSL4
DPYSL5,DPYSL5,DPYSL5,DPYSL5,DPYSL5
DQX1,DQX1,DQX1,DQX1,DQX1
DR1,DR1,DR1,DR1,DR1
DRAM1,DRAM1,DRAM1,DRAM1,DRAM1
DRAM2,DRAM2,DRAM2,DRAM2,DRAM2
DRAP1,DRAP1,DRAP1,DRAP1,DRAP1
DRAXIN,DRAXIN,DRAXIN,DRAXIN,DRAXIN
DRC1,DRC1,DRC1,DRC1,DRC1
DRD1,DRD1,DRD1,DRD1,DRD1
DRD2,DRD2,DRD2,DRD2,DRD2
DRD3,DRD3,DRD3,DRD3,DRD3
DRD4,DRD4,DRD4,DRD4,DRD4
DRD5,DRD5,DRD5,DRD5,DRD5
DRG1,DRG1,DRG1,DRG1,DRG1
DRGX,DRGX,DRGX,DRGX,DRGX
DROSHA,DROSHA,DROSHA,DROSHA,DROSHA
DRP2,DRP2,DRP2,DRP2,DRP2
DSC1,DSC1,DSC1,DSC1,DSC1
DSC2,DSC2,DSC2,DSC2,DSC2
DSC3,DSC3,DSC3,DSC3,DSC3
DSCAM,DSCAM,DSCAM,DSCAM,DSCAM
DSCAML1,DSCAML1,DSCAML1,DSCAML1,DSCAML1
DSCC1,DSCC1,DSCC1,DSCC1,DSCC1
DSE,DSE,DSE,DSE,DSE
DSEL,DSEL,DSEL,DSEL,DSEL
DSG1,DSG1,DSG1,DSG1,DSG1
DSG2,DSG2,DSG2,DSG2,DSG2
DSG3,DSG3,DSG3,DSG3,DSG3
DSG4,DSG4,DSG4,DSG4,DSG4
DSN1,DSN1,DSN1,DSN1,DSN1
DSP,DSP,DSP,DSP,DSP
DSPP,DSPP,DSPP,DSPP,DSPP
DST,DST,DST,DST,DST
DSTN,DSTN,DSTN,DSTN,DSTN
