gene_set_source,gene_set_label,gene_set_type,gene_set_size,within_species_meanAUROC,cross_species_meanAUROC
HGNC,Peptidyl arginine deiminases,Other,5,0.568508834,0.564826316
HGNC,Phosphatidylinositol glycan anchor biosynthesis,Other,19,0.617108772,0.597001754
HGNC,Phosphodiesterases,Other,22,0.914905263,0.894921053
HGNC,Pleckstrin homology domain containing,Other,189,0.974157895,0.965182456
HGNC,Plexins,Cell Adhesion,8,0.744168421,0.734912281
HGNC,Poly(ADP-ribose) polymerases,Other,14,0.662866667,0.64277193
HGNC,Proteasome,Other,42,0.634526316,0.618063158
HGNC,Protein disulfide isomerases,Other,19,0.643645614,0.628303509
HGNC,Protein phosphatase catalytic subunits,Other,12,0.633933333,0.612252632
HGNC,Protein phosphatase 1 regulatory subunits,Other,163,0.96482807,0.952350877
HGNC,Protein phosphatase 2 regulatory subunits,Other,15,0.712978947,0.697742105
HGNC,Protein phosphatase 6 regulatory subunits,Other,6,0.677968421,0.672391228
HGNC,"Protein phosphatases, Mg2+/Mn2+ dependent",Other,16,0.758498246,0.744305263
HGNC,HAD Asp-based protein phosphatases,Other,12,0.669491228,0.64944386
HGNC,Protein phosphatases,Other,122,0.960024561,0.948161404
HGNC,Class I classical Cys-based phosphatases,Other,74,0.950835088,0.938280702
HGNC,Dual specificity phosphatases,Other,37,0.774733333,0.754449123
HGNC,Pseudoautosomal regions,Other,10,0.585940351,0.571673684
HGNC,Pseudoautosomal region 1,Other,8,0.575666667,0.565098246
HGNC,Receptor accessory proteins,Signaling,6,0.638389474,0.632721053
HGNC,Regulators of G-protein signaling,Signaling,20,0.82802807,0.807336842
HGNC,Rho GTPase activating proteins,Other,45,0.944196491,0.92757193
HGNC,Dbl family Rho GEFs,Other,68,0.944785965,0.92514386
HGNC,RNA binding motif containing,Other,181,0.927750877,0.912463158
HGNC,RNA polymerase subunits,Other,23,0.605115789,0.586426316
HGNC,S ribosomal proteins,Other,28,0.577596491,0.561305263
HGNC,L ribosomal proteins,Other,48,0.598435088,0.580375439
HGNC,Secreted frizzled-related proteins,Other,5,0.669056338,0.645614035
HGNC,Secretory carrier membrane proteins,Other,5,0.570470175,0.560947368
HGNC,Semaphorins,Cell Adhesion,20,0.862224561,0.834912281
HGNC,Serine and arginine rich splicing factors,Other,12,0.587063158,0.572554386
HGNC,Serine proteases,Other,40,0.72505614,0.708692982
HGNC,Serpin peptidase inhibitors,Other,25,0.686733333,0.67457193
HGNC,"Serine peptidase inhibitors, Kazal type",Other,7,0.563615658,0.555501754
HGNC,SH2 domain containing,Other,91,0.913045614,0.888092982
HGNC,Shisa family members,Other,7,0.681757895,0.672140351
HGNC,Short chain dehydrogenase/reductase superfamily,Other,56,0.744024561,0.705770175
HGNC,Sialic acid binding Ig like lectins,Other,6,0.624269504,0.625052632
HGNC,Sideroflexins,Other,5,0.612666667,0.605791228
HGNC,SMAD family,Other,8,0.705438596,0.695989474
HGNC,Solute carriers,Other,376,0.9714,0.963052632
HGNC,Sorting nexins,Other,26,0.715842105,0.693775439
HGNC,Sp transcription factors,Other,7,0.568414035,0.56742807
HGNC,SRY-box transcription factors,Other,14,0.7614,0.757691228
HGNC,StAR related lipid transfer domain containing,Other,13,0.763838596,0.748277193
HGNC,Sterile alpha motif domain containing,Other,78,0.960354386,0.948408772
HGNC,Structural maintenance of chromosomes proteins,Other,7,0.577575439,0.564091228
HGNC,"Sulfotransferases, cytosolic",Other,7,0.518007018,0.514147368
HGNC,"Sulfotransferases, membrane bound",Other,30,0.907168421,0.889119298
HGNC,Suppressors of cytokine signaling,Signaling,6,0.585207018,0.575917544
HGNC,Synaptotagmins,Other,13,0.7668,0.748808772
HGNC,T-box transcription factors,Other,14,0.646768421,0.642703509
HGNC,Tetraspanins,Other,33,0.77205614,0.75107193
HGNC,Tetratricopeptide repeat domain containing,Other,94,0.890898246,0.871092982
HGNC,THO complex,Other,6,0.558252632,0.556298246
HGNC,Trafficking protein particle complex subunits,Other,14,0.595235088,0.577933333
HGNC,Transglutaminases,Other,9,0.603809859,0.595398246
HGNC,Trinucleotide repeat containing,Other,21,0.841694737,0.829163158
HGNC,Tubulins,Other,12,0.6206,0.617387719
HGNC,Tubulin tyrosine ligase family,Other,12,0.63922807,0.608791228
HGNC,Tudor domain containing,Other,31,0.707410526,0.690468421
HGNC,Tumor necrosis factor superfamily,Other,16,0.617045614,0.600059649
HGNC,Tumor necrosis factor receptor superfamily,Signaling,23,0.682810526,0.667066667
HGNC,Ubiquitin protein ligase E3 component n-recognins,Other,7,0.580950877,0.568415789
HGNC,Long non-coding RNAs,Other,5,0.561474265,0.546381371
HGNC,Adhesion G protein-coupled receptors,Other,26,0.780733333,0.758224561
HGNC,ATP binding cassette subfamily A,Other,10,0.671298246,0.653852632
HGNC,ATP binding cassette subfamily B,Other,11,0.607870175,0.590121053
HGNC,ATP binding cassette subfamily C,Other,7,0.639961404,0.618947368
HGNC,ATP binding cassette subfamily G,Other,5,0.604154386,0.591840351
HGNC,Protein tyrosine phosphatases non-receptor type,Signaling,17,0.770589474,0.744215789
HGNC,Protein tyrosine phosphatases receptor type,Signaling,20,0.950687719,0.93822807
HGNC,Serine/threonine phosphatases,Other,38,0.793852632,0.773370175
HGNC,Chitinases,Other,6,0.579680702,0.575736842
HGNC,Exosome complex,Other,11,0.553059649,0.544085965
HGNC,Syntaxins,Other,14,0.679287719,0.665517544
HGNC,Guanylate cyclases,Other,6,0.55402807,0.541038596
HGNC,Sulfotransferases,Other,37,0.907210526,0.888975439
HGNC,Synaptotagmin like tandem C2 proteins,Other,8,0.715894737,0.699091228
HGNC,C2 domain containing,Other,146,0.975347368,0.967001754
HGNC,Ferlin family,Other,5,0.662508772,0.641726316
HGNC,Copines,Other,6,0.757466667,0.74177193
HGNC,C2 and RasGAP domain containing,Other,9,0.702480702,0.686164912
HGNC,Phosphatidylinositol 3-kinase subunits,Signaling,8,0.637835088,0.622454386
HGNC,C2 domain containing phospholipases,Other,17,0.839936842,0.8206
HGNC,C2 domain containing protein kinases,Other,9,0.763533333,0.745631579
HGNC,C2 tensin-type domain containing,Other,6,0.657414035,0.637680702
HGNC,Potassium voltage-gated channel regulatory subunits,Ion Channel,11,0.874789474,0.860245614
HGNC,BTB domain containing,Other,126,0.93005614,0.916173684
HGNC,Cytochrome P450s,Other,23,0.681470175,0.653954386
HGNC,EF-hand domain containing,Other,199,0.974603509,0.966240351
HGNC,Anoctamins,Other,10,0.796866667,0.784563158
HGNC,Glycine receptors,Signaling,5,0.682564912,0.66712807
HGNC,Minor histocompatibility antigens,Other,32,0.77877193,0.756212281
HGNC,Selenoproteins,Other,10,0.578291228,0.566498246
HGNC,M10 matrix metallopeptidases,Other,16,0.632449123,0.620607018
HGNC,Astacins,Other,5,0.626926316,0.620731579
HGNC,MAP kinase phosphatases,Other,11,0.681870175,0.673008772
HGNC,Atypical dual specificity phosphatases,Other,14,0.65177193,0.640598246
HGNC,Metzincin metallopeptidases,Other,56,0.900291228,0.874026316
HGNC,Myotubularins,Other,15,0.654498246,0.638240351
HGNC,Membrane associated guanylate kinases,Other,24,0.860038596,0.839121053
HGNC,Angiopoietin like family,Other,7,0.58125614,0.574973684
HGNC,Cyclophilin peptidylprolyl isomerases,Other,17,0.615908772,0.605357895
HGNC,FKBP prolyl isomerases,Other,17,0.651754386,0.643073684
HGNC,Immunophilins,Other,34,0.69505614,0.682936842
HGNC,Peptidylprolyl isomerases,Other,36,0.696919298,0.684485965
HGNC,Granins,Other,6,0.709224561,0.692070175
HGNC,Rhomboid family,Other,10,0.663701754,0.652170175
HGNC,VPS9 domain containing,Other,8,0.656915789,0.642998246
HGNC,Actins,Other,5,0.557419014,0.54372807
HGNC,Progestin and adipoQ receptor family,Signaling,10,0.660887719,0.648587719
HGNC,COP9 signalosome ,Other,9,0.539698246,0.528796491
HGNC,Histone deacetylase superfamily,Other,18,0.708063158,0.696378947
HGNC,Sirtuins,Other,7,0.570378947,0.561138596
HGNC,Plakins,Other,5,0.588063158,0.576378947
HGNC,Dynactin subunits,Other,5,0.533294737,0.527819298
HGNC,ADAMTS like,Other,7,0.69017193,0.645257895
HGNC,Toll like receptors,Signaling,7,0.652039286,0.654998243
HGNC,Gelsolin/villins,Other,7,0.64185614,0.622435088
HGNC,SNAP complex ,Other,5,0.538898246,0.54
HGNC,Peroxiredoxins,Other,6,0.558214035,0.554566667
HGNC,XK related family,Other,8,0.672045614,0.66584386
HGNC,Prefoldin subunits,Other,8,0.569101754,0.567594737
HGNC,Peroxins,Other,16,0.585922807,0.576814035
HGNC,Membrane spanning 4-domains,Other,11,0.620035336,0.604322807
HGNC,Caspase recruitment domain containing,Other,20,0.646691228,0.631836842
HGNC,Origin recognition complex ,Other,5,0.548452632,0.537021053
HGNC,NME/NM23 family,Other,6,0.575754386,0.548866667
HGNC,Cystatin superfamily,Other,10,0.582757895,0.570440351
HGNC,Proprotein convertase subtilisin/kexin family,Other,6,0.712438596,0.697001754
HGNC,Acyl-CoA dehydrogenase family,Other,11,0.612670175,0.592491228
HGNC,Calpains,Other,14,0.635757895,0.61325614
HGNC,Chromobox family,Other,8,0.562624561,0.558612281
HGNC,COMM domain containing,Other,9,0.576466667,0.568249123
HGNC,Dynein regulatory complex,Other,8,0.646596491,0.626901754
HGNC,E2F transcription factors,Other,7,0.568182456,0.563094737
HGNC,Desumoylases,Other,10,0.585505263,0.582040351
HGNC,SUMO specific peptidases,Other,7,0.573778947,0.570319298
HGNC,"Histone deacetylases, class II",Other,6,0.661845614,0.65365614
HGNC,Pyrin domain containing,Other,13,0.606322807,0.584377193
HGNC,Deubiquinating enzymes,Other,77,0.818280702,0.795033333
HGNC,JAMM/MPN+ metallopeptidase family,Other,11,0.637652632,0.620461404
HGNC,Death effector domain containing,Other,7,0.592035088,0.584185965
HGNC,Death associated protein kinases,Other,5,0.622368421,0.606866667
HGNC,Autophagy related,Other,30,0.691291228,0.673491228
HGNC,CCR4-NOT transcription complex,Other,10,0.566821053,0.559052632
HGNC,DNA glycosylases,Other,8,0.55242807,0.54565614
HGNC,Methyl-CpG binding domain containing,Other,10,0.591873684,0.582312281
HGNC,MutS homologs,Other,5,0.558852632,0.545592982
HGNC,Paf1/RNA polymerase II complex ,Other,6,0.565308772,0.562101754
HGNC,Cullins,Other,8,0.566845614,0.5606
HGNC,Membrane bound O-acyltransferases,Other,8,0.651578947,0.637087719
HGNC,Ragulator complex ,Other,5,0.519536842,0.520384211
HGNC,CTD family phosphatases,Other,8,0.583512281,0.57384386
HGNC,5'-nucleotidases,Other,6,0.585715789,0.576935088
HGNC,HAD Asp-based non-protein phosphatases,Other,12,0.622045614,0.609829825
HGNC,Nucleoporins,Other,25,0.623814035,0.613338596
HGNC,IgLON cell adhesion molecules,Cell Adhesion,5,0.787670175,0.767612281
HGNC,14-3-3 phospho-serine/phospho-threonine binding proteins,Other,7,0.603515789,0.592103509
HGNC,Ribosomal proteins,Other,147,0.683442105,0.653449123
HGNC,Exocyst complex,Other,9,0.632224561,0.614835088
HGNC,TNF receptor associated factors,Signaling,6,0.607789474,0.601559649
HGNC,BCL2 family,Other,22,0.668210526,0.649838596
HGNC,ATAC complex,Other,11,0.626052632,0.612854386
HGNC,SAGA complex,Other,16,0.631540351,0.61452807
HGNC,Cohesin complex,Other,8,0.575557895,0.568708772
HGNC,Mediator complex,Other,33,0.731063158,0.705505263
HGNC,GOLD domain containing,Other,14,0.630722807,0.62105614
HGNC,Transmembrane p24 trafficking proteins,Other,8,0.542473684,0.539305263
HGNC,Insulin like growth factor binding proteins,Other,6,0.71,0.689422807
HGNC,Lipid phosphatases,Other,36,0.835140351,0.822680702
HGNC,Acid phosphatases,Other,5,0.578185965,0.567029825
HGNC,Sugar phosphatases,Other,11,0.611761404,0.600964912
HGNC,Phosphatases,Other,187,0.965607018,0.955280702
HGNC,Phosphoinositide phosphatases,Other,30,0.815863158,0.803642105
HGNC,HAD Asp-based phosphatases,Other,24,0.716964912,0.691735088
HGNC,Golgins,Other,11,0.672287719,0.664207018
HGNC,MCM family,Other,9,0.556814035,0.545589474
HGNC,LEM domain containing,Other,7,0.55662807,0.553726316
HGNC,Atypical chemokine receptors,Signaling,5,0.568410526,0.562564912
HGNC,C-C motif chemokine receptors,Signaling,6,0.53194306,0.525495606
HGNC,EPH receptors,Signaling,14,0.879312281,0.850550877
HGNC,"Myosin heavy chains, class I",Other,8,0.69562807,0.671707018
HGNC,"Myosin heavy chains, class II",Other,11,0.662592982,0.654078947
HGNC,Keratins,Other,22,0.606136842,0.603864912
HGNC,ESCRT complexes,Other,26,0.620452632,0.608677193
HGNC,Spectrins,Other,7,0.633017544,0.623919298
HGNC,ESCRT-I,Other,9,0.585312281,0.577784211
HGNC,ESCRT-III,Other,9,0.542284211,0.539124561
HGNC,Eukaryotic translation initiation factor 3,Other,12,0.553491228,0.543085965
HGNC,BBSome,Other,7,0.607480702,0.594407018
HGNC,SNAREs,Other,36,0.712014035,0.689675439
HGNC,Xeroderma pigmentosum complementation groups,Other,6,0.542494737,0.532892982
HGNC,Gemins,Other,7,0.532329825,0.526461404
HGNC,N-acetyltransferases,Other,21,0.675842105,0.662452632
HGNC,GCN5 related N-acetyltransferases,Other,21,0.675842105,0.662452632
HGNC,Transmembrane channel like family,Ion Channel,6,0.587677193,0.570978947
HGNC,MAGE family,Other,10,0.579140351,0.575940351
HGNC,BAG cochaperones,Other,6,0.551298246,0.544998246
HGNC,YIP family,Other,17,0.660789474,0.648740351
HGNC,GRAM domain containing,Other,26,0.7254,0.697349123
HGNC,PWWP domain containing,Other,16,0.631985965,0.616754386
HGNC,NADH:ubiquinone oxidoreductase core subunits,Other,7,0.538368421,0.52915614
HGNC,NADH:ubiquinone oxidoreductase supernumerary subunits,Other,28,0.601568421,0.582535088
HGNC,Phosphatidylinositol transfer proteins,Other,6,0.740582456,0.739673684
HGNC,Regulatory factor X family,Other,7,0.638052632,0.636642105
HGNC,MAPK activated protein kinases,Other,11,0.71594386,0.699431579
HGNC,RAF family,Other,5,0.601957895,0.587896491
HGNC,Volume regulated anion channel subunits,Other,5,0.588663158,0.567717544
HGNC,Integrin beta subunits,Other,8,0.691687719,0.680605263
HGNC,Integrin alpha subunits,Other,13,0.769985965,0.734198246
HGNC,CDC42 effector proteins,Other,5,0.597838596,0.591810526
HGNC,CCAAT/enhancer binding proteins ,Other,5,0.616750877,0.619559649
HGNC,Helicases,Other,96,0.748052632,0.720254386
HGNC,DNA helicases,Other,29,0.671736842,0.649868421
HGNC,RNA helicases,Other,70,0.710136842,0.683678947
HGNC,UPF1 like RNA helicases,Other,11,0.581245614,0.572545614
HGNC,SCF complex,Other,63,0.806308772,0.781024561
HGNC,Lysozymes,Other,7,0.549703571,0.54955614
HGNC,"Lysozymes, c-type",Other,5,0.574773381,0.577627417
HGNC,Diacylglycerol kinases,Other,10,0.818617544,0.797198246
HGNC,Sushi domain containing,Other,46,0.874266667,0.852119298
HGNC,Myosin phosphatase targeting family,Other,5,0.649985965,0.638747368
HGNC,Type II classical cadherins,Cell Adhesion,10,0.892245614,0.874498246
HGNC,Desmosomal cadherins,Other,7,0.615804965,0.587642105
HGNC,Mannosidases,Other,15,0.775768421,0.753757895
HGNC,Mannosidases type alpha,Other,13,0.770863158,0.748754386
HGNC,Mannosidases alpha class 1,Other,7,0.720122807,0.701866667
HGNC,PR/SET domain family,Other,14,0.676782456,0.671357895
HGNC,Ras association domain family,Other,9,0.688231579,0.673449123
HGNC,Glutamate ionotropic receptor kainate type subunits,Other,5,0.813614035,0.80015614
HGNC,Glutamate ionotropic receptor NMDA type subunits,Signaling,6,0.727017544,0.721852632
HGNC,Sodium voltage-gated channel alpha subunits,Ion Channel,7,0.679487719,0.660064912
HGNC,DASH family,Other,7,0.726592982,0.707633333
HGNC,ATPase Na+/K+ transporting subunits,Other,7,0.678722807,0.673436842
HGNC,ATPases Ca2+ transporting,Other,7,0.746603509,0.733585965
HGNC,ATPase phospholipid transporting,Other,14,0.783203509,0.761291228
HGNC,ATPase orphan transporters,Other,5,0.587245614,0.573857895
HGNC,Transmembrane BAX inhibitor motif containing,Other,5,0.556877193,0.550050877
HGNC,Transcription elongation factor A like family,Other,5,0.54885614,0.546545614
HGNC,LIM domain containing,Other,61,0.915077193,0.900642105
HGNC,Troponin complex subunits,Other,8,0.668045936,0.674591228
HGNC,PDZ domain containing,Other,135,0.970961404,0.960998246
HGNC,Crumbs complex,Other,7,0.693870175,0.68452807
HGNC,UTPb subcomplex,Other,5,0.529852632,0.525545614
HGNC,LY6/PLAUR domain containing,Other,22,0.728736842,0.717807018
HGNC,Translocase of outer mitochondrial membrane complex,Other,5,0.542024561,0.534484211
HGNC,BEACH domain containing ,Other,9,0.634301754,0.618091228
HGNC,Bromodomain containing,Other,37,0.753140351,0.732254386
HGNC,MRH domain containing ,Other,5,0.56122807,0.554698246
HGNC,"C3 and PZP like, alpha-2-macroglobulin domain containing",Other,5,0.586347368,0.575331579
HGNC,Diacylglycerol O-acyltransferase 2 family,Other,7,0.56922807,0.572491228
HGNC,Exon junction complex,Other,5,0.530726316,0.526122807
HGNC,Arrestins,Other,8,0.608266667,0.609454386
HGNC,EMSY complex,Other,11,0.595996491,0.580710526
HGNC,Gla domain containing,Other,12,0.634473684,0.621115789
HGNC,Scavenger receptors,Signaling,24,0.695031579,0.675047368
HGNC,NF-kappa B complex subunits,Other,5,0.541778947,0.538063158
HGNC,Sm spliceosomal proteins,Other,8,0.578140351,0.574157895
HGNC,AP-1 transcription factor ,Other,7,0.596192982,0.589731579
HGNC,SNAG transcriptional repressors,Other,8,0.56485461,0.561535088
HGNC,MBT domain containing,Other,9,0.775891228,0.748494737
HGNC,ERCC excision repair associated,Other,6,0.559259649,0.551463158
HGNC,Nucleotide excision repair,Other,25,0.620582456,0.601789474
HGNC,BCL2 homology region 3 (BH3) only,Other,9,0.625329825,0.613559649
HGNC,SPARC family,Other,8,0.839887719,0.820652632
HGNC,Super elongation complex,Other,15,0.762505263,0.73954386
HGNC,P-TEFb complex subunits,Other,7,0.547003509,0.542882456
HGNC,F-BAR domain containing ,Other,19,0.832961404,0.814266667
HGNC,N-BAR domain containing,Other,10,0.751540351,0.74445614
HGNC,PX-BAR domain containing,Other,12,0.658638596,0.641240351
HGNC,BAR-PH domain containing,Other,11,0.715992982,0.697384211
HGNC,AH/BAR superfamily,Other,70,0.930115789,0.914684211
HGNC,FERM domain containing,Other,49,0.937859649,0.921491228
HGNC,SPOUT methyltransferase domain containing,Other,6,0.54054386,0.533835088
HGNC,TIR domain containing,Other,19,0.682926316,0.670757895
HGNC,C-type lectin domain containing,Other,53,0.772252632,0.754335088
HGNC,BCH domain containing ,Other,7,0.605849123,0.584864912
HGNC,Large ribosomal subunit biogenesis complex,Other,9,0.543315789,0.538449123
HGNC,Adenosine deaminase family,Other,10,0.724614035,0.714863158
HGNC,Adenosine deaminases acting on RNA,Other,5,0.697698246,0.694945614
HGNC,NuRD complex subunits,Other,12,0.654880702,0.646231579
HGNC,SIN3 histone deacetylase complex subunits,Other,9,0.595203509,0.587917544
HGNC,BTG/Tob family,Other,6,0.616705263,0.610073684
HGNC,Alpha arrestins,Other,5,0.620792982,0.617401754
HGNC,M14 carboxypeptidases,Other,27,0.716112281,0.691592982
HGNC,SRCAP complex,Other,8,0.542136842,0.539884211
HGNC,casein kinase 1 family,Other,6,0.566901754,0.552782456
HGNC,Death inducing signaling complex ,Other,5,0.587389474,0.578954386
HGNC,tRNA splicing ligase complex,Other,5,0.54765614,0.536378947
HGNC,Polycomb repressive complex 2,Other,6,0.567087719,0.549492982
HGNC,Transcription and export complex 1 subunits,Other,13,0.575722807,0.567778947
HGNC,Epidermal differentiation complex,Other,16,0.635326316,0.622191228
HGNC,CAP superfamily,Other,10,0.632224561,0.624692982
HGNC,Beta-gamma crystallins,Other,12,0.611362676,0.600107018
HGNC,NineTeen complex,Other,5,0.555410526,0.554473684
HGNC,Integrator complex,Other,11,0.605063158,0.59527193
HGNC,Iron (II) and 2-oxoglutarate dependent oxygenases,Other,26,0.700259649,0.675094737
HGNC,Doublecortin superfamily,Other,10,0.682494737,0.670092982
HGNC,STRIPAK complex,Other,18,0.70025614,0.685142105
HGNC,C1q and TNF related ,Other,11,0.677929825,0.67757193
HGNC,TLC domain containing,Other,12,0.621150877,0.598170175
HGNC,Mitochondrial complex I assembly complex,Other,5,0.531501754,0.522329825
HGNC,Src family tyrosine kinases,Other,9,0.606326316,0.601098246
HGNC,RBR E3 ubiquitin ligases,Other,12,0.731378947,0.721877193
HGNC,GATOR complex,Other,5,0.562382456,0.556319298
HGNC,Methyltransferases,Other,155,0.871136842,0.843445614
HGNC,SET domain containing,Other,40,0.808235088,0.783021053
HGNC,Seven-beta-strand methyltransferase motif containing,Other,93,0.785045614,0.754905263
HGNC,Scavenger receptor cysteine rich domain containing,Signaling,27,0.699175439,0.677829825
HGNC,Glutamine amidotransferase class 1 domain containing,Other,9,0.596659649,0.57697193
HGNC,Ig-like cell adhesion molecule family,Cell Adhesion,86,0.977308772,0.969342105
HGNC,Gag like LTR retrotransposon derived genes,Other,58,0.725259649,0.695935088
HGNC,IgCAM CXADR-related subfamily,Cell Adhesion,8,0.698122807,0.680087719
HGNC,DNA transposon derived genes,Other,16,0.615624561,0.606582456
HGNC,Transposable element derived genes,Other,75,0.746978947,0.719278947
HGNC,WTAP complex,Other,6,0.546821053,0.539401754
HGNC,G protein subunits alpha,Signaling,11,0.706810526,0.689464912
HGNC,"G protein subunits alpha, group i",Signaling,6,0.595705263,0.585115789
HGNC,G protein subunits beta,Other,5,0.621150877,0.615096491
HGNC,Heterotrimeric G proteins,Other,27,0.830119298,0.811624561
HGNC,G protein subunits gamma,Signaling,11,0.72097193,0.708408772
HGNC,Actin related proteins,Other,14,0.607147368,0.601357895
HGNC,M1 metallopeptidases,Other,12,0.701936842,0.68432807
HGNC,M13 metallopeptidases,Other,5,0.611652632,0.591598246
HGNC,M24 metallopeptidase family,Other,8,0.578638596,0.575764912
HGNC,M28 metallopeptidases,Other,9,0.633789474,0.621047368
HGNC,M38 metallopeptidases,Other,8,0.723049123,0.705298246
HGNC,Hyaluronidases,Other,6,0.575722807,0.574842105
HGNC,Cleavage and polyadenylation specific factor subunits,Other,6,0.5498,0.541096491
HGNC,Condensin I subunits,Other,5,0.569512281,0.556707018
HGNC,Condensin II subunits,Other,5,0.569540351,0.563247368
HGNC,Condensin subunits,Other,8,0.577182456,0.567407018
HGNC,Tec family tyrosine kinases,Other,5,0.617031802,0.611717544
HGNC,Non-receptor tyrosine kinases,Signaling,29,0.776884211,0.763010526
HGNC,Glutaredoxin domain containing,Other,9,0.576066667,0.563529825
HGNC,Glutathione S-transferases,Other,12,0.658708772,0.649289474
HGNC,Tetraspan junctional complex superfamily,Other,63,0.855705263,0.835454386
HGNC,Tetraspan vesicle membrane proteins,Other,12,0.741133333,0.723587719
HGNC,NSL histone acetyltransferase complex,Other,8,0.577835088,0.569733333
HGNC,UTPa subcomplex,Other,5,0.532126316,0.525161404
HGNC,SSU processome,Other,54,0.658340351,0.636677193
HGNC,LHFPL tetraspan proteins,Other,5,0.694463158,0.685650877
HGNC,Cilia and flagella associated,Other,57,0.80882807,0.776812281
HGNC,Armadillo like helical domain containing,Other,282,0.960284211,0.947073684
HGNC,"Clathrin/coatomer adaptor, adaptin-like, N-terminal domain containing",Other,13,0.616838596,0.598998246
HGNC,TOG domain containing,Other,7,0.588340351,0.577678947
HGNC,NTC associated proteins,Other,13,0.6272,0.622831579
HGNC,U1 small nuclear ribonucleoprotein,Other,11,0.618480702,0.610982456
HGNC,SMN complex,Other,8,0.532259649,0.526731579
HGNC,U2 small nuclear ribonucleoprotein ,Other,19,0.610807018,0.602661404
HGNC,U4/U6 small nuclear ribonucleoprotein ,Other,12,0.594670175,0.590210526
HGNC,U5 small nuclear ribonucleoprotein,Other,15,0.606722807,0.597970175
HGNC,Spliceosomal A complex,Other,41,0.665312281,0.655254386
HGNC,LSm proteins,Other,13,0.57802807,0.574931579
HGNC,tri-snRP complex,Other,36,0.64214386,0.631282456
HGNC,Spliceosomal B complex,Other,74,0.685452632,0.670321053
HGNC,Spliceosomal Bact complex,Other,50,0.688522807,0.677722807
HGNC,Spliceosomal C complex,Other,70,0.704645614,0.692835088
HGNC,Calcium channel auxiliary gamma subunits,Ion Channel,7,0.671564912,0.661063158
HGNC,Calcium voltage-gated channel alpha1 subunits,Ion Channel,9,0.800638596,0.78222807
HGNC,Spliceosomal P complex,Other,65,0.699301754,0.68857193
HGNC,SF3b complex,Other,6,0.52957193,0.52802807
HGNC,Major spliceosome,Other,131,0.735635088,0.721307018
HGNC,Minor spliceosome,Other,28,0.640603509,0.626319298
HGNC,U11/U12 di-snRNP,Other,21,0.629161404,0.617735088
HGNC,Spliceosomal E complex,Other,15,0.624761404,0.61534386
HGNC,VPS-C complexes,Other,8,0.586947368,0.57797193
HGNC,HOPS complex,Other,6,0.554017544,0.545877193
HGNC,CORVET complex,Other,6,0.545621053,0.53564386
HGNC,DOCK family Rho GEFs,Other,11,0.838947368,0.823738596
HGNC,FASTK mitochondrial RNA binding family,Other,5,0.550624561,0.536370175
HGNC,Catenins,Other,11,0.767494737,0.734452632
HGNC,Delta catenins,Other,6,0.6406,0.629570175
HGNC,MKS complex,Other,8,0.604922807,0.594989474
HGNC,Pyruvate dehydrogenase complex,Other,5,0.546705263,0.541340351
HGNC,TIM23 complex,Other,7,0.546375439,0.545554386
HGNC,CCC complex,Other,9,0.569975439,0.559291228
HGNC,CTLH complex,Other,7,0.602649123,0.594868421
HGNC,Purinosome,Other,6,0.558964912,0.552596491
HGNC,KMN network,Other,8,0.553982456,0.539491228
HGNC,Constitutive centromere associated network,Other,12,0.571821053,0.552717544
HGNC,Neurexins,Cell Adhesion,6,0.801863158,0.781322807
HGNC,PI4KA lipid kinase complex,Other,5,0.624505263,0.615119298
HGNC,PIK3C3 complex subunits,Other,6,0.561396491,0.555457895
HGNC,interferon induced transmembrane protein domain containing,Other,6,0.674073684,0.659473684
HGNC,BAF complex,Other,25,0.849694737,0.842782456
HGNC,PBAF complex,Other,14,0.632435088,0.624061404
HGNC,GBAF complex,Other,11,0.655312281,0.645566667
HGNC,Metallo-beta-lactamase fold containing family,Other,14,0.637280702,0.626638596
HGNC,MBL domain containing glyoxalase 2 subfamily,Other,5,0.551684211,0.545568421
HGNC,MBL fold containing DNA/RNA interacting subfamily,Other,8,0.553242105,0.541682456
HGNC,AGC family kinases,Other,51,0.929652632,0.914712281
HGNC,MARVEL domain containing,Other,20,0.783677193,0.759366667
HGNC,Axonemal dynein assembly factors,Other,7,0.560919298,0.548964912
HGNC,Calmodulin dependent protein kinases,Other,10,0.822031579,0.809978947
HGNC,Granule associated serine proteases of immune defence,Other,5,0.565803704,0.569908451
HGNC,Complement system activation components,Other,20,0.631849123,0.609438596
HGNC,Complement system regulators and receptors,Signaling,20,0.684185965,0.653942105
HGNC,C1q domain containing,Other,25,0.743017544,0.721449123
HGNC,Glycoside hydrolases,Other,63,0.831547368,0.804633333
HGNC,Chordin family,Other,5,0.733610526,0.714561404
HGNC,Inhibin subunits,Other,5,0.577549645,0.565408772
HGNC,Pseudouridine synthases,Other,12,0.578831579,0.565205263
HGNC,Flavin containing monooxygenases,Other,5,0.532357895,0.529629825
HGNC,Myosin light chain kinase family,Other,6,0.644957895,0.624114035
HGNC,Adaptor related protein complexes,Other,27,0.706554386,0.692896491
HGNC,Adaptor related protein complex 1,Other,7,0.65157193,0.647838596
HGNC,Adaptor related protein complex 2,Other,5,0.553884211,0.54274386
HGNC,Adaptor related protein complex 3,Other,7,0.591070175,0.577505263
HGNC,Wnt enhanceosome complex,Other,17,0.840950877,0.831322807
